Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,Flow Byts/s,Flow Pkts/s,Protocol,Flow Duration,Label
8,11,6.0,19.60009917650184,18.620094217676744,6,1020403,1
9,8,120.0,119.5680008130624,16.938800115183838,6,1003613,1
7,6,72.0,71.96689522819504,12.994022749535215,6,1000460,1
14,13,240.0,237.79869745763463,26.752353463983894,6,1009257,1
18,17,336.0,335.3842345453747,34.9358577651432,6,1001836,1
9,8,120.0,119.87892228848864,16.982847324202556,6,1001010,1
12,8,33.0,45.376795096149486,19.729041346151952,6,1013734,1
9,8,120.0,119.6773498647646,16.95429123084165,6,1002696,1
11,11,34.0,47.53600109332803,21.787333834442013,6,1009761,1
29,28,696.0,692.2342457033737,56.69159770846595,6,1005440,1
6,7,0.0,71.9272815183849,12.98687027415283,6,1001011,1
6,10,6.0,19.525510567694457,15.620408454155568,6,1024301,1
26,25,528.0,526.8477838966181,50.88870639910516,6,1002187,1
11,8,34.0,46.40559078760161,18.75970691413682,6,1012809,1
8,7,96.0,95.88072437887269,14.981363184198855,6,1001244,1
11,11,34.0,47.78201843191361,21.90009178129374,6,1004562,1
26,25,528.0,525.2544947559109,50.73480915255956,6,1005227,1
8,7,96.0,95.93294287293182,14.989522323895596,6,1000699,1
11,11,34.0,47.84469611640614,21.92881905335281,6,1003246,1
38,37,816.0,810.6666242788694,74.50980002563138,6,1006579,1
11,11,34.0,47.85633528148499,21.93415367068062,6,1003002,1
18,17,336.0,335.10292945784136,34.90655515185848,6,1002677,1
11,11,34.0,47.79914798018725,21.90794282425249,6,1004202,1
15,14,264.0,263.42809760011016,28.93717738789089,6,1002171,1
8,7,96.0,95.8767025605072,14.980734775079249,6,1001286,1
11,11,34.0,47.382885301828985,21.717155763338283,6,1013024,1
11,11,34.0,47.83916472818384,21.92628383375093,6,1003362,1
11,11,34.0,47.81300334392192,21.914293199297543,6,1003911,1
6,5,48.0,47.94788065372939,10.98805598314632,6,1001087,1
15,14,264.0,263.551172353482,28.950696963071888,6,1001703,1
12,11,34.0,47.78668025932238,22.89778429092531,6,1004464,1
23,22,456.0,454.878270185722,44.88930297885414,6,1002466,1
10,11,33.0,45.98299411906856,20.545593117030634,6,1022117,1
11,11,34.0,47.73929570614872,21.880510531984832,6,1005461,1
7,6,72.0,71.74644805258218,12.954219787271782,6,1003534,1
30,29,624.0,618.1884107505342,58.45050678570756,6,1009401,1
45,42,1224.0,1217.6669143783183,86.54985420826283,6,1005201,1
32,31,720.0,712.4395910596747,62.33846421772154,6,1010612,1
16,15,288.0,286.9637738127621,30.888461764568145,6,1003611,1
11,11,34.0,47.71537777159245,21.869548145313207,6,1005965,1
6,5,48.0,47.970162558888376,10.993162253078586,6,1000622,1
30,29,624.0,621.6049561041307,58.77354552907647,6,1003853,1
20,19,384.0,381.6137691018064,38.75764842440221,6,1006253,1
11,11,34.0,47.58949303309651,21.811850973502565,6,1008626,1
7,6,72.0,71.96552851184283,12.993775981304957,6,1000479,1
11,11,34.0,47.86306377454104,21.93723756333131,6,1002861,1
19,18,360.0,358.8556094614275,36.8823820835356,6,1003189,1
11,11,34.0,47.62481173316611,21.82803871103447,6,1007878,1
11,11,34.0,47.68475607757118,21.855513202220124,6,1006611,1
11,11,34.0,47.82791516124983,21.921127782239505,6,1003598,1
25,24,504.0,502.0175327631185,48.807260129747625,6,1003949,1
11,11,34.0,47.69593839274624,21.86063843000869,6,1006375,1
11,11,34.0,47.628923060436136,21.82992306936656,6,1007791,1
6,5,48.0,47.93815977389168,10.985828281516843,6,1001290,1
8,7,96.0,95.92057776161336,14.98759027525209,6,1000828,1
11,11,34.0,47.74219216232345,21.88183807439825,6,1005400,1
11,11,34.0,47.55314311415627,21.79519059398829,6,1009397,1
17,16,312.0,311.6602902835909,32.96406916461057,6,1001090,1
11,11,34.0,47.83458799471428,21.924186164244045,6,1003458,1
6,5,48.0,47.91241610336306,10.979928690354033,6,1001828,1
11,11,34.0,47.798148419225605,21.90748469214507,6,1004223,1
16,15,288.0,285.9639367701962,30.7808404162364,6,1007120,1
7,6,72.0,71.9663916950784,12.9939318338336,6,1000467,1
19,18,360.0,358.6936377712372,36.86573499315493,6,1003642,1
11,11,34.0,47.70461303608059,21.864614308203603,6,1006192,1
12,11,192.0,191.7267893252116,22.96727163791597,6,1001425,1
11,10,168.0,167.7088574235128,20.9636071779391,6,1001736,1
11,11,34.0,47.79810082212733,21.90746287680836,6,1004224,1
11,11,34.0,47.717939261028064,21.870722161304528,6,1005911,1
11,11,34.0,47.71485602042196,21.869309009360062,6,1005976,1
11,11,34.0,47.75715486749877,21.888695980936937,6,1005085,1
36,35,768.0,764.7833213504002,70.70262476025836,6,1004206,1
9,8,120.0,119.83534623427413,16.9766740498555,6,1001374,1
11,11,34.0,47.8145750778481,21.915013577347047,6,1003878,1
11,11,34.0,47.71689565806073,21.870243843277837,6,1005933,1
11,11,34.0,47.80871732199471,21.912328772580903,6,1004001,1
28,27,648.0,642.4014711786778,54.52481622658531,6,1008715,1
11,11,34.0,47.57477664633506,21.80510596290357,6,1008938,1
6,5,48.0,47.96608797580111,10.99222849445442,6,1000707,1
9,8,120.0,119.87868277303367,16.982813392846438,6,1001012,1
9,8,120.0,119.91677775623718,16.9882101821336,6,1000694,1
10,9,144.0,143.8940939468551,18.986026284654493,6,1000736,1
11,11,34.0,47.77255486628163,21.895754313712416,6,1004761,1
15,14,264.0,262.9424454842623,28.883829238801543,6,1004022,1
36,35,768.0,761.9259265138317,70.4384645605235,6,1007972,1
9,8,120.0,119.72594730661515,16.96117586843715,6,1002289,1
11,10,168.0,167.79880922773594,20.974851153466997,6,1001199,1
11,11,34.0,47.80652698529053,21.911324868258163,6,1004047,1
11,11,34.0,47.75995844883615,21.88998095571657,6,1005026,1
18,17,336.0,334.61402869315293,34.8556279888701,6,1004142,1
71,69,2304.0,2274.668154152207,138.2176829779987,6,1012895,1
11,11,34.0,47.809288747187466,21.912590675794256,6,1003989,1
8,7,96.0,95.91473180342676,14.986676844285432,6,1000889,1
26,25,528.0,526.2533650812951,50.83129094535237,6,1003319,1
8,7,96.0,95.67461064918211,14.949157913934709,6,1003401,1
12,11,192.0,191.7700676888411,22.97245602522576,6,1001199,1
